secid,date,low,high,open,close
108105,20121024,1407.1,1420.04,1413.2,1408.75
108105,20121025,1405.14,1421.12,1409.74,1412.97
108105,20121026,1403.28,1417.09,1412.97,1411.94
108105,20121031,1405.95,1418.76,1410.99,1412.16
108105,20121101,1412.2,1428.35,1412.2,1427.59
108105,20121102,1412.91,1434.27,1427.59,1414.2
108105,20121105,1408.13,1419.9,1414.02,1417.26
108105,20121106,1417.26,1433.38,1417.26,1428.39
108105,20121107,1388.14,1428.27,1428.27,1394.53
108105,20121108,1377.51,1401.23,1394.53,1377.51
108105,20121109,1373.03,1391.39,1377.55,1379.85
108105,20121112,1380.03,1380.03,1380.03,1380.03
108105,20121113,1371.39,1388.81,1380.03,1374.53
108105,20121114,1352.5,1380.13,1374.64,1355.49
108105,20121115,1348.05,1360.62,1355.41,1353.33
108105,20121116,1343.35,1362.03,1353.36,1359.88
108105,20121119,1359.88,1386.89,1359.88,1386.89
108105,20121120,1377.04,1389.77,1386.82,1387.81
108105,20121121,1386.39,1391.25,1387.79,1391.03
108105,20121123,1391.03,1409.16,1391.03,1409.15
108105,20121126,1397.68,1409.15,1409.15,1406.29
108105,20121127,1398.03,1409.01,1406.29,1398.94
108105,20121128,1385.43,1410.31,1398.77,1409.93
108105,20121129,1409.04,1419.7,1409.96,1415.95
108105,20121130,1411.63,1418.86,1415.95,1416.18
108105,20121203,1408.46,1423.73,1416.34,1409.46
108105,20121204,1403.65,1413.14,1409.46,1407.05
108105,20121205,1398.23,1415.56,1407.05,1409.28
108105,20121206,1405.93,1413.95,1409.43,1413.94
108105,20121207,1410.9,1420.34,1413.95,1418.07
108105,20121210,1415.64,1421.64,1418.07,1418.55
108105,20121211,1418.55,1434.27,1418.55,1427.84
108105,20121212,1426.76,1438.59,1427.84,1428.48
108105,20121213,1416,1431.36,1428.48,1419.45
108105,20121214,1411.88,1419.45,1419.45,1413.58
108105,20121217,1413.54,1430.67,1413.54,1430.36
108105,20121218,1430.47,1448,1430.47,1446.79
108105,20121219,1435.8,1447.75,1446.79,1435.81
108105,20121220,1432.82,1443.7,1435.81,1443.69
108105,20121221,1422.58,1443.67,1443.67,1430.15
108105,20121224,1424.66,1430.15,1430.15,1426.66
108105,20121226,1416.43,1429.42,1426.66,1419.83
108105,20121227,1401.8,1422.8,1419.83,1418.1
108105,20121228,1401.58,1418.1,1418.1,1402.43
108105,20121231,1398.11,1426.74,1402.43,1426.19
108105,20130102,1426.19,1462.43,1426.19,1462.42
108105,20130103,1455.53,1465.47,1462.42,1459.37
108105,20130104,1458.99,1467.94,1459.37,1466.47
108105,20130107,1456.62,1466.47,1466.47,1461.89
108105,20130108,1451.64,1461.89,1461.89,1457.15
108105,20130109,1457.15,1464.73,1457.15,1461.02
108105,20130110,1461.02,1472.3,1461.02,1472.12
108105,20130111,1467.58,1472.75,1472.12,1472.05
108105,20130114,1465.69,1472.05,1472.05,1470.68
108105,20130115,1463.76,1473.31,1470.67,1472.34
108105,20130116,1467.6,1473.96,1472.33,1472.63
108105,20130117,1472.63,1485.16,1472.63,1480.94
108105,20130118,1475.81,1485.98,1480.95,1485.98
108105,20130122,1481.16,1492.56,1485.98,1492.56
108105,20130123,1489.9,1496.13,1492.56,1494.81
108105,20130124,1489.46,1502.27,1494.81,1494.82
108105,20130125,1494.82,1503.26,1494.82,1502.96
108105,20130128,1496.33,1503.23,1502.96,1500.18
108105,20130129,1498.09,1509.35,1500.18,1507.84
108105,20130130,1500.11,1509.94,1507.84,1501.96
108105,20130131,1496.76,1504.19,1501.96,1498.11
108105,20130201,1498.11,1514.41,1498.11,1513.17
108105,20130204,1495.02,1513.17,1513.17,1495.71
108105,20130205,1495.71,1514.96,1495.71,1511.29
108105,20130206,1504.71,1512.53,1511.29,1512.12
108105,20130207,1498.49,1512.9,1512.12,1509.39
108105,20130208,1509.39,1518.31,1509.39,1517.93
108105,20130211,1513.61,1518.31,1517.93,1517.01
108105,20130212,1515.61,1522.29,1517.01,1519.43
108105,20130213,1515.93,1524.69,1519.43,1520.33
108105,20130214,1514.02,1523.14,1520.33,1521.38
108105,20130215,1514.14,1524.24,1521.38,1519.79
108105,20130219,1519.79,1530.94,1519.79,1530.94
108105,20130220,1511.41,1530.94,1530.94,1511.95
108105,20130221,1497.29,1511.95,1511.95,1502.42
108105,20130222,1502.42,1515.64,1502.42,1515.6
108105,20130225,1487.85,1525.84,1515.6,1487.85
108105,20130226,1496.94,1496.94,1496.94,1496.94
108105,20130227,1494.88,1520.08,1496.94,1515.99
108105,20130228,1514.46,1525.34,1515.99,1514.68
108105,20130301,1501.48,1519.99,1514.68,1518.2
108105,20130304,1512.29,1525.27,1518.2,1525.2
108105,20130305,1525.2,1543.47,1525.2,1539.79
108105,20130306,1538.11,1545.25,1539.79,1541.46
108105,20130307,1541.46,1545.78,1541.46,1544.26
108105,20130308,1542.94,1552.48,1544.26,1551.18
108105,20130311,1547.36,1556.27,1551.15,1556.22
108105,20130312,1548.24,1556.77,1556.22,1552.48
108105,20130313,1548.25,1556.39,1552.48,1554.52
108105,20130314,1554.52,1563.32,1554.52,1563.23
108105,20130315,1555.74,1563.62,1563.21,1560.7
108105,20130318,1545.13,1560.7,1560.7,1552.1
108105,20130319,1538.57,1557.25,1552.1,1548.34
108105,20130320,1548.34,1561.56,1548.34,1558.71
108105,20130321,1543.55,1558.71,1558.71,1545.8
108105,20130322,1545.9,1557.74,1545.9,1556.89
108105,20130325,1546.22,1564.91,1556.89,1551.69
108105,20130326,1551.69,1563.95,1551.69,1563.77
108105,20130327,1551.9,1564.07,1563.75,1562.85
108105,20130328,1561.08,1570.28,1562.86,1569.19
108105,20130401,1558.47,1570.57,1569.18,1562.17
108105,20130402,1562.17,1573.66,1562.17,1570.25
108105,20130403,1549.8,1571.47,1570.25,1553.69
108105,20130404,1552.52,1562.6,1553.69,1559.98
108105,20130405,1539.5,1559.98,1559.98,1553.28
108105,20130408,1548.63,1563.07,1553.26,1563.07
108105,20130409,1560.92,1573.89,1563.11,1568.61
108105,20130410,1568.61,1589.07,1568.61,1587.73
108105,20130411,1586.17,1597.35,1587.73,1593.37
108105,20130412,1579.97,1593.3,1593.3,1588.85
108105,20130415,1552.28,1588.84,1588.84,1552.36
108105,20130416,1552.36,1575.35,1552.36,1574.57
108105,20130417,1543.69,1574.57,1574.57,1552.01
108105,20130418,1536.03,1554.38,1552.03,1541.61
108105,20130419,1539.4,1555.89,1541.61,1555.25
108105,20130422,1548.19,1565.55,1555.25,1562.5
108105,20130423,1562.5,1579.58,1562.5,1578.78
108105,20130424,1575.8,1583,1578.78,1578.79
108105,20130425,1578.93,1592.64,1578.93,1585.16
108105,20130426,1577.56,1585.78,1585.16,1582.24
108105,20130429,1582.34,1596.65,1582.34,1593.61
108105,20130430,1586.5,1597.57,1593.58,1597.57
108105,20130501,1581.28,1597.55,1597.55,1582.7
108105,20130502,1582.77,1598.6,1582.77,1597.59
108105,20130503,1597.6,1618.46,1597.6,1614.42
108105,20130506,1614.21,1619.77,1614.4,1617.5
108105,20130507,1616.64,1626.03,1617.55,1625.96
108105,20130508,1622.7,1632.78,1625.95,1632.69
108105,20130509,1623.09,1635.01,1632.69,1626.67
108105,20130510,1623.71,1633.7,1626.69,1633.7
108105,20130513,1626.74,1636,1632.1,1633.77
108105,20130514,1633.75,1651.1,1633.75,1650.34
108105,20130515,1646.68,1661.49,1649.13,1658.78
108105,20130516,1648.6,1660.51,1658.07,1650.47
108105,20130517,1652.45,1667.47,1652.45,1667.47
108105,20130520,1663.52,1672.84,1665.71,1666.29
108105,20130521,1662.67,1674.93,1666.2,1669.16
108105,20130522,1648.86,1687.18,1669.39,1655.35
108105,20130523,1635.53,1655.5,1651.62,1650.51
108105,20130524,1636.88,1649.78,1646.67,1649.6
108105,20130528,1652.63,1674.21,1652.63,1660.06
108105,20130529,1640.05,1656.57,1656.57,1648.36
